price,date
$290.65,20210509-1535
$291.70,20210509-1535
$292.79,20210509-1535
$293.42,20210509-1535
$293.90,20210509-1535
$303.60,20210509-1535
$322.62,20210509-1535
$330.43,20210509-1535
$330.43,20210509-1535
$330.66,20210509-1535
$348.50,20210509-1535
$348.51,20210509-1535
$424.00,20210509-1535
$447.37,20210509-1535
$451.30,20210509-1535
$271.97,20210509-1605
$280.32,20210509-1605
$282.26,20210509-1605
$285.90,20210509-1605
$285.91,20210509-1605
$285.96,20210509-1605
$287.24,20210509-1605
$288.10,20210509-1605
$290.35,20210509-1605
$290.97,20210509-1605
$292.02,20210509-1605
$293.21,20210509-1605
$294.01,20210509-1605
$303.32,20210509-1605
$322.80,20210509-1605
$330.63,20210509-1605
$330.63,20210509-1605
$330.87,20210509-1605
$348.00,20210509-1605
$348.02,20210509-1605
$424.27,20210509-1605
$445.26,20210509-1605
$452.17,20210509-1605
$521.19,20210509-1605
$272.62,20210509-1639
$272.62,20210509-1639
$280.78,20210509-1639
$282.34,20210509-1639
$282.35,20210509-1639
$283.86,20210509-1639
$285.75,20210509-1639
$285.77,20210509-1639
$285.81,20210509-1639
$287.47,20210509-1639
$287.87,20210509-1639
$290.49,20210509-1639
$290.60,20210509-1639
$291.61,20210509-1639
$293.45,20210509-1639
$294.63,20210509-1639
$303.49,20210509-1639
$323.55,20210509-1639
$331.43,20210509-1639
$331.43,20210509-1639
$331.66,20210509-1639
$348.00,20210509-1639
$348.02,20210509-1639
$425.29,20210509-1639
$275.48,20210509-1709
$275.48,20210509-1709
$283.53,20210509-1709
$285.00,20210509-1709
$286.43,20210509-1709
$288.00,20210509-1709
$288.02,20210509-1709
$288.06,20210509-1709
$290.06,20210509-1709
$290.07,20210509-1709
$292.70,20210509-1709
$293.04,20210509-1709
$293.68,20210509-1709
$296.11,20210509-1709
$297.63,20210509-1709
$306.17,20210509-1709
$326.91,20210509-1709
$333.16,20210509-1709
$334.90,20210509-1709
$334.90,20210509-1709
$335.14,20210509-1709
$350.91,20210509-1709
$350.92,20210509-1709
$429.74,20210509-1709
$274.72,20210509-1731
$274.72,20210509-1731
$284.01,20210509-1731
$285.35,20210509-1731
$286.69,20210509-1731
$286.70,20210509-1731
$286.75,20210509-1731
$288.68,20210509-1731
$288.99,20210509-1731
$291.23,20210509-1731
$291.89,20210509-1731
$292.17,20210509-1731
$295.01,20210509-1731
$296.76,20210509-1731
$304.99,20210509-1731
$326.00,20210509-1731
$332.25,20210509-1731
$333.99,20210509-1731
$333.99,20210509-1731
$334.22,20210509-1731
$349.42,20210509-1731
$349.44,20210509-1731
$428.57,20210509-1731
$442.75,20210509-1731
$274.06,20210509-1802
$274.06,20210509-1802
$281.78,20210509-1802
$283.01,20210509-1802
$284.23,20210509-1802
$285.22,20210509-1802
$285.24,20210509-1802
$285.28,20210509-1802
$287.13,20210509-1802
$289.53,20210509-1802
$290.43,20210509-1802
$290.67,20210509-1802
$293.87,20210509-1802
$295.95,20210509-1802
$303.73,20210509-1802
$325.18,20210509-1802
$331.44,20210509-1802
$333.17,20210509-1802
$333.17,20210509-1802
$333.41,20210509-1802
$347.80,20210509-1802
$347.82,20210509-1802
$427.53,20210509-1802
$439.11,20210509-1802
$272.35,20210509-1902
$272.35,20210509-1902
$279.54,20210509-1902
$280.66,20210509-1902
$281.65,20210509-1902
$281.98,20210509-1902
$282.00,20210509-1902
$282.04,20210509-1902
$283.71,20210509-1902
$285.86,20210509-1902
$286.68,20210509-1902
$287.88,20210509-1902
$291.80,20210509-1902
$293.94,20210509-1902
$300.86,20210509-1902
$323.10,20210509-1902
$329.38,20210509-1902
$331.10,20210509-1902
$331.10,20210509-1902
$331.33,20210509-1902
$344.17,20210509-1902
$344.19,20210509-1902
$424.86,20210509-1902
$431.51,20210509-1902
$253.00,20210509-1932
$253.00,20210509-1932
$272.46,20210509-1932
$272.46,20210509-1932
$279.41,20210509-1932
$280.49,20210509-1932
$281.36,20210509-1932
$281.37,20210509-1932
$281.38,20210509-1932
$281.43,20210509-1932
$283.02,20210509-1932
$285.05,20210509-1932
