price,date,min,max,median
$1558.06,20210510-0832,,,
$363.76,20210510-0902,,,
$369.04,20210510-0902,,,
$379.64,20210510-0902,,,
$495.95,20210510-0902,,,
$1572.18,20210510-0902,,,
$362.25,20210510-0932,,,
$367.53,20210510-0932,,,
$377.70,20210510-0932,,,
$495.66,20210510-0932,,,
$1572.35,20210510-0932,,,
$361.17,20210510-1002,,,
$366.46,20210510-1002,,,
$376.19,20210510-1002,,,
$495.95,20210510-1002,,,
$1574.36,20210510-1002,,,
$357.34,20210510-1032,,,
$362.59,20210510-1032,,,
$371.83,20210510-1032,,,
$492.45,20210510-1032,,,
$1564.34,20210510-1032,,,
$352.44,20210510-1102,,,
$357.63,20210510-1102,,,
$366.35,20210510-1102,,,
$487.44,20210510-1102,,,
$1549.50,20210510-1102,,,
$355.92,20210510-1132,,,
$361.18,20210510-1132,,,
$369.59,20210510-1132,,,
$494.04,20210510-1132,,,
$1571.56,20210510-1132,,,
$359.92,20210510-1202,,,
$365.26,20210510-1202,,,
$373.37,20210510-1202,,,
$501.41,20210510-1202,,,
$1596.11,20210510-1202,,,
$358.49,20210510-1232,,,
$363.83,20210510-1232,,,
$371.50,20210510-1232,,,
$501.23,20210510-1232,,,
$1596.65,20210510-1232,,,
$356.31,20210510-1302,,,
$361.64,20210510-1302,,,
$368.85,20210510-1302,,,
$500.00,20210510-1302,,,
$1593.84,20210510-1302,,,
$355.46,20210510-1332,,,
$360.80,20210510-1332,,,
$367.58,20210510-1332,,,
$500.64,20210510-1332,,,
$1597.00,20210510-1332,,,
$351.36,20210510-1402,,,
$356.65,20210510-1402,,,
$362.95,20210510-1402,,,
$496.69,20210510-1402,,,
$1585.48,20210510-1402,,,
$350.03,20210510-1432,,,
$355.32,20210510-1432,,,
$361.19,20210510-1432,,,
$496.64,20210510-1432,,,
$1586.43,20210510-1432,,,
$348.68,20210510-1502,,,
$353.96,20210510-1502,,,
$359.40,20210510-1502,,,
$496.55,20210510-1502,,,
$1587.23,20210510-1502,,,
$345.59,20210510-1532,,,
$350.85,20210510-1532,,,
$355.83,20210510-1532,,,
$493.98,20210510-1532,,,
$1580.11,20210510-1532,,,
$336.01,20210510-1602,,,
$341.14,20210510-1602,,,
$345.59,20210510-1602,,,
$482.08,20210510-1602,,,
$1543.12,20210510-1602,,,
$327.91,20210510-1632,,,
$332.94,20210510-1632,,,
$336.88,20210510-1632,,,
$472.23,20210510-1632,,,
$1512.62,20210510-1632,,,
$323.82,20210510-1702,,,
$328.81,20210510-1702,,,
$332.31,20210510-1702,,,
$468.10,20210510-1702,,,
$1500.41,20210510-1702,,,
$329.13,20210510-1732,,,
$334.22,20210510-1732,,,
$337.38,20210510-1732,,,
$477.57,20210510-1732,,,
$1531.83,20210510-1732,,,
$331.69,20210510-1802,,,
$336.83,20210510-1802,,,
